序号	英文	中文
1	a	"n.(A)As 或 A's  安(ampere(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
2	aaal	American Academy of Arts and Letters 美国艺术和文学学会
3	aachen	 亚琛[德意志联邦共和国西部城市]
4	aacs	Airways and Air Communications Service (美国)航路与航空通讯联络处
5	aah	" [军]Armored Artillery Howitzer,装甲榴弹炮;[军]Advanced Attack Helicopter,先进攻击直升机"
6	aal	"ATM Adaptation Layer,ATM适应层"
7	aapamoor	"n.[生]丘泽,高低位镶嵌沼泽"
8	aapss	American Academy of Political and Social Science 美国政治和社会科学研究院
9	aar	"n.阿勒河(位于瑞士中部,亦作Aare)"
10	aardvark	n.[动]土豚
11	aardwolf	n.[动]土狼
12	aare	 阿勒河[瑞士中部]
13	aarnet	"the Australian Academic and Research Network,澳大利亚科研网"
14	aaron	"n.[圣经]亚伦(摩西之兄,犹太教的第一祭司长)"
15	aaronic	adj.亚伦的
16	aarp	"AppleTalk Address Resolution Protocol,AppleTalk地址解析协议"
17	aasvogel	n.[动]南非秃鹫
18	aau	Amateur Athletic Union (of the United States) (美国)业余体育联合会
19	aaui	"Apple attachment unit interface,Apple插件单元接口"
20	aaup	American Association of University Professors 美国大学教授联合会
21	aauw	American Association of University Women 美国大学妇女联合会
22	ab	" [军] Airborne,空运 (历法)阿布月(即犹太教历5月)"
23	aba	"n.毛织物,(阿拉伯式)长袍"
24	abac	" <英>(=nomogram)[数]算图,诺模图"
25	abaca	"n.[植]马尼拉麻,麻蕉"
26	abaci	n.算盘(abacus的复数)
27	abacist	n.用算盘者
28	aback	adv.向后地
29	abacterial	adj.非细菌性的
30	abactinal	adj.无触角的
31	abacus	n.算盘
32	abaddon	"n.[圣经]地狱,魔鬼(地狱里的魔王)"
33	abaft	adv.向船尾;prep.在...后
34	abalienate	"v.[律]移转,让渡(产权或财产)"
35	abalone	n.<美>[动]鲍鱼(软体动物)
36	abampere	n.[电] 电磁安(培)(1电磁安=10安)
37	abandon	"vt.放弃,遗弃;n.放任,狂热"
38	abandoned	"adj.被抛弃的,自甘堕落的,没有约束的,放荡的"
39	abandonee	"n.被遗弃者,被委付者"
40	abandoner	"n.遗弃者,委付者"
41	abandonment	n.放弃
42	abaptiston	n.圆锯(用于脑部手术)
43	abas	vt.打倒
44	abasable	"adj.可贬黜的,可降低的"
45	abase	v.降低
46	abasement	n.降低
47	abash	"vt.使局促不安,使困窘"
48	abashed	"adj.不安的,窘迫的"
49	abashment	"n.羞愧,害臊"
50	abasia	n.[医] (神经系统疾病引发的)步行不能
51	abask	adv.暖洋洋地
52	abatage	n.(=abattage)为防止传染而屠杀有病的牲畜
53	abate	"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
54	abatement	n.消除
55	abattage	n.为防止传染而被屠杀的有病之牲畜
56	abattis	n.=abatis
57	abattoir	"n.<法>屠宰场,(拳击,摔跤,斗牛等的)角斗场"
58	abaxial	adj.离轴的
59	abaya	n.=aba
60	abb	"n.横丝,纬纱,劣质羊毛"
61	abba	n.神父
62	abbacy	n.男修道院院长的职位、管区、任期
63	abbatial	adj.修道院长的
64	abbe	"n.男修道院院长,僧侣,神父"
65	abbess	"n.女修道院院长,女庵主持"
66	abbevillian	adj.&n.阿布维利文化(的)(指欧洲旧石器时代初期较早阶段的文化)
67	abbey	"n.修道院,修道士(总称)"
68	abbeystead	n.修道院所在地
69	abborrent	嫌恶的
70	abbot	"n.修道院,修道士的总称"
